"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-4", "1844", "RW_Semaphore.java:160", "Line Step", " file=RW_Semaphore.java, line=160"
"Thread-3", "1845", "RW_Semaphore.java:168", "Method Exit", " returner=Database:1#request_write:9, value=<void>"
"Thread-4", "1846", "RW_Semaphore.java:163", "Line Step", " file=RW_Semaphore.java, line=163"
"Thread-3", "1847", "RW_Semaphore.java:77", "Method Returned", " "
"Thread-3", "1848", "RW_Semaphore.java:78", "Line Step", " file=RW_Semaphore.java, line=78"
"Thread-4", "1849", "RW_Semaphore.java:163", "Field Read", " context=Database:1, ww"
"Thread-3", "1850", "RW_Semaphore.java:78", "Field Read", " context=Writer:4, d"
"Thread-4", "1851", "RW_Semaphore.java:163", "Field Write", " context=Database:1, ww=2"
"Thread-3", "1852", "RW_Semaphore.java:78", "Field Read", " context=Writer:4, x"
"Thread-4", "1853", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-3", "1854", "RW_Semaphore.java:78", "Method Call", " caller=Writer:4#run:4, target=Database:1#write:9"
"Thread-3", "1855", "RW_Semaphore.java:193", "Method Entered", " "
"Thread-3", "1856", "RW_Semaphore.java:193", "Variable Write", " context=Database:1#write:9, x=1000"
"Thread-3", "1857", "RW_Semaphore.java:194", "Line Step", " file=RW_Semaphore.java, line=194"
"Thread-4", "1858", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-3", "1859", "RW_Semaphore.java:194", "Field Read", " context=Database:1, data"
"Thread-4", "1860", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-3", "1861", "RW_Semaphore.java:194", "Field Write", " context=Database:1, data=12222"
"Thread-4", "1862", "RW_Semaphore.java:155", "Line Step", " file=RW_Semaphore.java, line=155"
"Thread-3", "1863", "RW_Semaphore.java:195", "Line Step", " file=RW_Semaphore.java, line=195"
"Thread-4", "1864", "RW_Semaphore.java:155", "Field Read", " context=Database:1, ww"
"Thread-3", "1865", "RW_Semaphore.java:195", "Method Exit", " returner=Database:1#write:9, value=<void>"
"Thread-4", "1866", "RW_Semaphore.java:155", "Field Write", " context=Database:1, ww=3"
"Thread-3", "1867", "RW_Semaphore.java:78", "Method Returned", " "
"Thread-3", "1868", "RW_Semaphore.java:79", "Line Step", " file=RW_Semaphore.java, line=79"
"Thread-4", "1869", "RW_Semaphore.java:156", "Line Step", " file=RW_Semaphore.java, line=156"
"Thread-4", "1870", "RW_Semaphore.java:156", "Field Read", " context=Database:1, s"
"Thread-4", "1871", "RW_Semaphore.java:158", "Line Step", " file=RW_Semaphore.java, line=158"
"Thread-0", "1872", "RW_Semaphore.java:160", "Line Step", " file=RW_Semaphore.java, line=160"
"Thread-4", "1873", "RW_Semaphore.java:158", "Field Read", " context=Database:1, sw"
"Thread-0", "1874", "RW_Semaphore.java:163", "Line Step", " file=RW_Semaphore.java, line=163"
"Thread-0", "1875", "RW_Semaphore.java:163", "Field Read", " context=Database:1, ww"
"Thread-0", "1876", "RW_Semaphore.java:163", "Field Write", " context=Database:1, ww=2"
"Thread-0", "1877", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-0", "1878", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-0", "1879", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-0", "1880", "RW_Semaphore.java:155", "Line Step", " file=RW_Semaphore.java, line=155"
"Thread-0", "1881", "RW_Semaphore.java:155", "Field Read", " context=Database:1, ww"
"Thread-0", "1882", "RW_Semaphore.java:155", "Field Write", " context=Database:1, ww=3"
"Thread-0", "1883", "RW_Semaphore.java:156", "Line Step", " file=RW_Semaphore.java, line=156"
"Thread-0", "1884", "RW_Semaphore.java:156", "Field Read", " context=Database:1, s"
"Thread-0", "1885", "RW_Semaphore.java:158", "Line Step", " file=RW_Semaphore.java, line=158"
"Thread-1", "1886", "RW_Semaphore.java:160", "Line Step", " file=RW_Semaphore.java, line=160"
"Thread-0", "1887", "RW_Semaphore.java:158", "Field Read", " context=Database:1, sw"
"Thread-1", "1888", "RW_Semaphore.java:163", "Line Step", " file=RW_Semaphore.java, line=163"
"Thread-1", "1889", "RW_Semaphore.java:163", "Field Read", " context=Database:1, ww"
"Thread-1", "1890", "RW_Semaphore.java:163", "Field Write", " context=Database:1, ww=2"
"Thread-1", "1891", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-1", "1892", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-1", "1893", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-1", "1894", "RW_Semaphore.java:155", "Line Step", " file=RW_Semaphore.java, line=155"
"Thread-1", "1895", "RW_Semaphore.java:155", "Field Read", " context=Database:1, ww"
"Thread-1", "1896", "RW_Semaphore.java:155", "Field Write", " context=Database:1, ww=3"
"Thread-1", "1897", "RW_Semaphore.java:156", "Line Step", " file=RW_Semaphore.java, line=156"
"Thread-1", "1898", "RW_Semaphore.java:156", "Field Read", " context=Database:1, s"
"Thread-1", "1899", "RW_Semaphore.java:158", "Line Step", " file=RW_Semaphore.java, line=158"
"Thread-5", "1900", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-1", "1901", "RW_Semaphore.java:158", "Field Read", " context=Database:1, sw"
"Thread-5", "1902", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-5", "1903", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-5", "1904", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-5", "1905", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-5", "1906", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-5", "1907", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-5", "1908", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-5", "1909", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-5", "1910", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-5", "1911", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-5", "1912", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-6", "1913", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-5", "1914", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-6", "1915", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-6", "1916", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-6", "1917", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-6", "1918", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-6", "1919", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-6", "1920", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-6", "1921", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-6", "1922", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-6", "1923", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-6", "1924", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-6", "1925", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-7", "1926", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-6", "1927", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-7", "1928", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-7", "1929", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-7", "1930", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-7", "1931", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-7", "1932", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-3", "1933", "RW_Semaphore.java:81", "Line Step", " file=RW_Semaphore.java, line=81"
"Thread-7", "1934", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-3", "1935", "RW_Semaphore.java:81", "Field Read", " context=Writer:4, d"
"Thread-7", "1936", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-3", "1937", "RW_Semaphore.java:81", "Method Call", " caller=Writer:4#run:4, target=Database:1#done_write:9"
"Thread-3", "1938", "RW_Semaphore.java:170", "Method Entered", " "
"Thread-3", "1939", "RW_Semaphore.java:174", "Line Step", " file=RW_Semaphore.java, line=174"
"Thread-7", "1940", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-3", "1941", "RW_Semaphore.java:174", "Field Read", " context=Database:1, s"
"Thread-7", "1942", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-7", "1943", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-7", "1944", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-8", "1945", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-7", "1946", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-8", "1947", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-8", "1948", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-8", "1949", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-8", "1950", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-8", "1951", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-8", "1952", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-8", "1953", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-8", "1954", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-8", "1955", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-8", "1956", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-8", "1957", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-9", "1958", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-8", "1959", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-9", "1960", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-9", "1961", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-9", "1962", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-9", "1963", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-9", "1964", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-9", "1965", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-9", "1966", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-9", "1967", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-9", "1968", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-9", "1969", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-9", "1970", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-2", "1971", "RW_Semaphore.java:150", "Line Step", " file=RW_Semaphore.java, line=150"
"Thread-9", "1972", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-2", "1973", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-2", "1974", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-2", "1975", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-2", "1976", "RW_Semaphore.java:155", "Line Step", " file=RW_Semaphore.java, line=155"
"Thread-2", "1977", "RW_Semaphore.java:155", "Field Read", " context=Database:1, ww"
"Thread-2", "1978", "RW_Semaphore.java:155", "Field Write", " context=Database:1, ww=4"
"Thread-2", "1979", "RW_Semaphore.java:156", "Line Step", " file=RW_Semaphore.java, line=156"
"Thread-2", "1980", "RW_Semaphore.java:156", "Field Read", " context=Database:1, s"
"Thread-2", "1981", "RW_Semaphore.java:158", "Line Step", " file=RW_Semaphore.java, line=158"
"Thread-3", "1982", "RW_Semaphore.java:175", "Line Step", " file=RW_Semaphore.java, line=175"
"Thread-2", "1983", "RW_Semaphore.java:158", "Field Read", " context=Database:1, sw"
"Thread-3", "1984", "RW_Semaphore.java:179", "Line Step", " file=RW_Semaphore.java, line=179"
"Thread-3", "1985", "RW_Semaphore.java:179", "Field Write", " context=Database:1, w=0"
"Thread-3", "1986", "RW_Semaphore.java:181", "Line Step", " file=RW_Semaphore.java, line=181"
"Thread-3", "1987", "RW_Semaphore.java:181", "Field Read", " context=Database:1, sw"
"Thread-3", "1988", "RW_Semaphore.java:181", "Variable Write", " context=Database:1#done_write:9, len=4"
"Thread-3", "1989", "RW_Semaphore.java:182", "Line Step", " file=RW_Semaphore.java, line=182"
"Thread-3", "1990", "RW_Semaphore.java:182", "Field Read", " context=Database:1, sw"
"Thread-3", "1991", "RW_Semaphore.java:183", "Line Step", " file=RW_Semaphore.java, line=183"
"Thread-4", "1992", "RW_Semaphore.java:159", "Line Step", " file=RW_Semaphore.java, line=159"
"Thread-0", "1993", "RW_Semaphore.java:159", "Line Step", " file=RW_Semaphore.java, line=159"
"Thread-1", "1994", "RW_Semaphore.java:159", "Line Step", " file=RW_Semaphore.java, line=159"
"Thread-2", "1995", "RW_Semaphore.java:159", "Line Step", " file=RW_Semaphore.java, line=159"
"Thread-3", "1996", "RW_Semaphore.java:183", "Field Read", " context=Database:1, sr"
"Thread-4", "1997", "RW_Semaphore.java:159", "Field Read", " context=Database:1, s"
"Thread-0", "1998", "RW_Semaphore.java:159", "Field Read", " context=Database:1, s"
"Thread-1", "1999", "RW_Semaphore.java:159", "Field Read", " context=Database:1, s"
"Thread-2", "2000", "RW_Semaphore.java:159", "Field Read", " context=Database:1, s"
"Thread-3", "2001", "RW_Semaphore.java:183", "Variable Write", " context=Database:1#done_write:9, len1=5"
"Thread-3", "2002", "RW_Semaphore.java:184", "Line Step", " file=RW_Semaphore.java, line=184"
"Thread-3", "2003", "RW_Semaphore.java:184", "Field Read", " context=Database:1, sr"
"Thread-3", "2004", "RW_Semaphore.java:186", "Line Step", " file=RW_Semaphore.java, line=186"
"Thread-5", "2005", "RW_Semaphore.java:113", "Line Step", " file=RW_Semaphore.java, line=113"
"Thread-6", "2006", "RW_Semaphore.java:113", "Line Step", " file=RW_Semaphore.java, line=113"
"Thread-7", "2007", "RW_Semaphore.java:113", "Line Step", " file=RW_Semaphore.java, line=113"
"Thread-8", "2008", "RW_Semaphore.java:113", "Line Step", " file=RW_Semaphore.java, line=113"
"Thread-9", "2009", "RW_Semaphore.java:113", "Line Step", " file=RW_Semaphore.java, line=113"
"Thread-3", "2010", "RW_Semaphore.java:186", "Field Read", " context=Database:1, s"
"Thread-5", "2011", "RW_Semaphore.java:113", "Field Read", " context=Database:1, s"
"Thread-6", "2012", "RW_Semaphore.java:113", "Field Read", " context=Database:1, s"
"Thread-7", "2013", "RW_Semaphore.java:113", "Field Read", " context=Database:1, s"
"Thread-8", "2014", "RW_Semaphore.java:113", "Field Read", " context=Database:1, s"
"Thread-9", "2015", "RW_Semaphore.java:113", "Field Read", " context=Database:1, s"
"Thread-3", "2016", "RW_Semaphore.java:187", "Line Step", " file=RW_Semaphore.java, line=187"
"Thread-4", "2017", "RW_Semaphore.java:160", "Line Step", " file=RW_Semaphore.java, line=160"
"Thread-3", "2018", "RW_Semaphore.java:187", "Method Exit", " returner=Database:1#done_write:9, value=<void>"
"Thread-4", "2019", "RW_Semaphore.java:163", "Line Step", " file=RW_Semaphore.java, line=163"
"Thread-3", "2020", "RW_Semaphore.java:81", "Method Returned", " "
"Thread-3", "2021", "RW_Semaphore.java:76", "Line Step", " file=RW_Semaphore.java, line=76"
"Thread-4", "2022", "RW_Semaphore.java:163", "Field Read", " context=Database:1, ww"
"Thread-3", "2023", "RW_Semaphore.java:76", "Variable Write", " context=Writer:4#run:4, i=2"
"Thread-3", "2024", "RW_Semaphore.java:77", "Line Step", " file=RW_Semaphore.java, line=77"
"Thread-4", "2025", "RW_Semaphore.java:163", "Field Write", " context=Database:1, ww=3"
"Thread-3", "2026", "RW_Semaphore.java:77", "Field Read", " context=Writer:4, d"
"Thread-4", "2027", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-3", "2028", "RW_Semaphore.java:77", "Method Call", " caller=Writer:4#run:4, target=Database:1#request_write:14"
"Thread-3", "2029", "RW_Semaphore.java:140", "Method Entered", " "
"Thread-3", "2030", "RW_Semaphore.java:149", "Line Step", " file=RW_Semaphore.java, line=149"
"Thread-4", "2031", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-3", "2032", "RW_Semaphore.java:149", "Field Read", " context=Database:1, s"
"Thread-4", "2033", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-4", "2034", "RW_Semaphore.java:165", "Line Step", " file=RW_Semaphore.java, line=165"
"Thread-4", "2035", "RW_Semaphore.java:165", "Field Write", " context=Database:1, w=1"
"Thread-4", "2036", "RW_Semaphore.java:167", "Line Step", " file=RW_Semaphore.java, line=167"
"Thread-4", "2037", "RW_Semaphore.java:167", "Field Read", " context=Database:1, s"
"Thread-4", "2038", "RW_Semaphore.java:168", "Line Step", " file=RW_Semaphore.java, line=168"
"Thread-0", "2039", "RW_Semaphore.java:160", "Line Step", " file=RW_Semaphore.java, line=160"
"Thread-4", "2040", "RW_Semaphore.java:168", "Method Exit", " returner=Database:1#request_write:10, value=<void>"
"Thread-0", "2041", "RW_Semaphore.java:163", "Line Step", " file=RW_Semaphore.java, line=163"
"Thread-4", "2042", "RW_Semaphore.java:77", "Method Returned", " "
"Thread-4", "2043", "RW_Semaphore.java:78", "Line Step", " file=RW_Semaphore.java, line=78"
"Thread-0", "2044", "RW_Semaphore.java:163", "Field Read", " context=Database:1, ww"
"Thread-4", "2045", "RW_Semaphore.java:78", "Field Read", " context=Writer:5, d"
"Thread-0", "2046", "RW_Semaphore.java:163", "Field Write", " context=Database:1, ww=2"
"Thread-4", "2047", "RW_Semaphore.java:78", "Field Read", " context=Writer:5, x"
"Thread-0", "2048", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-4", "2049", "RW_Semaphore.java:78", "Method Call", " caller=Writer:5#run:5, target=Database:1#write:10"
"Thread-4", "2050", "RW_Semaphore.java:193", "Method Entered", " "
"Thread-4", "2051", "RW_Semaphore.java:193", "Variable Write", " context=Database:1#write:10, x=10000"
"Thread-4", "2052", "RW_Semaphore.java:194", "Line Step", " file=RW_Semaphore.java, line=194"
"Thread-0", "2053", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-4", "2054", "RW_Semaphore.java:194", "Field Read", " context=Database:1, data"
"Thread-0", "2055", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-4", "2056", "RW_Semaphore.java:194", "Field Write", " context=Database:1, data=22222"
"Thread-0", "2057", "RW_Semaphore.java:155", "Line Step", " file=RW_Semaphore.java, line=155"
"Thread-4", "2058", "RW_Semaphore.java:195", "Line Step", " file=RW_Semaphore.java, line=195"
"Thread-0", "2059", "RW_Semaphore.java:155", "Field Read", " context=Database:1, ww"
"Thread-4", "2060", "RW_Semaphore.java:195", "Method Exit", " returner=Database:1#write:10, value=<void>"
"Thread-0", "2061", "RW_Semaphore.java:155", "Field Write", " context=Database:1, ww=3"
"Thread-4", "2062", "RW_Semaphore.java:78", "Method Returned", " "
"Thread-4", "2063", "RW_Semaphore.java:79", "Line Step", " file=RW_Semaphore.java, line=79"
"Thread-0", "2064", "RW_Semaphore.java:156", "Line Step", " file=RW_Semaphore.java, line=156"
"Thread-0", "2065", "RW_Semaphore.java:156", "Field Read", " context=Database:1, s"
"Thread-0", "2066", "RW_Semaphore.java:158", "Line Step", " file=RW_Semaphore.java, line=158"
"Thread-1", "2067", "RW_Semaphore.java:160", "Line Step", " file=RW_Semaphore.java, line=160"
"Thread-0", "2068", "RW_Semaphore.java:158", "Field Read", " context=Database:1, sw"
"Thread-1", "2069", "RW_Semaphore.java:163", "Line Step", " file=RW_Semaphore.java, line=163"
"Thread-1", "2070", "RW_Semaphore.java:163", "Field Read", " context=Database:1, ww"
"Thread-1", "2071", "RW_Semaphore.java:163", "Field Write", " context=Database:1, ww=2"
"Thread-1", "2072", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-1", "2073", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-1", "2074", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-1", "2075", "RW_Semaphore.java:155", "Line Step", " file=RW_Semaphore.java, line=155"
"Thread-1", "2076", "RW_Semaphore.java:155", "Field Read", " context=Database:1, ww"
"Thread-1", "2077", "RW_Semaphore.java:155", "Field Write", " context=Database:1, ww=3"
"Thread-1", "2078", "RW_Semaphore.java:156", "Line Step", " file=RW_Semaphore.java, line=156"
"Thread-1", "2079", "RW_Semaphore.java:156", "Field Read", " context=Database:1, s"
"Thread-1", "2080", "RW_Semaphore.java:158", "Line Step", " file=RW_Semaphore.java, line=158"
"Thread-2", "2081", "RW_Semaphore.java:160", "Line Step", " file=RW_Semaphore.java, line=160"
"Thread-1", "2082", "RW_Semaphore.java:158", "Field Read", " context=Database:1, sw"
"Thread-2", "2083", "RW_Semaphore.java:163", "Line Step", " file=RW_Semaphore.java, line=163"
"Thread-2", "2084", "RW_Semaphore.java:163", "Field Read", " context=Database:1, ww"
"Thread-2", "2085", "RW_Semaphore.java:163", "Field Write", " context=Database:1, ww=2"
"Thread-2", "2086", "RW_Semaphore.java:154", "Line Step", " file=RW_Semaphore.java, line=154"
"Thread-2", "2087", "RW_Semaphore.java:154", "Field Read", " context=Database:1, r"
"Thread-4", "2088", "RW_Semaphore.java:81", "Line Step", " file=RW_Semaphore.java, line=81"
"Thread-2", "2089", "RW_Semaphore.java:154", "Field Read", " context=Database:1, w"
"Thread-4", "2090", "RW_Semaphore.java:81", "Field Read", " context=Writer:5, d"
"Thread-2", "2091", "RW_Semaphore.java:155", "Line Step", " file=RW_Semaphore.java, line=155"
"Thread-4", "2092", "RW_Semaphore.java:81", "Method Call", " caller=Writer:5#run:5, target=Database:1#done_write:10"
"Thread-4", "2093", "RW_Semaphore.java:170", "Method Entered", " "
"Thread-4", "2094", "RW_Semaphore.java:174", "Line Step", " file=RW_Semaphore.java, line=174"
"Thread-2", "2095", "RW_Semaphore.java:155", "Field Read", " context=Database:1, ww"
"Thread-4", "2096", "RW_Semaphore.java:174", "Field Read", " context=Database:1, s"
"Thread-2", "2097", "RW_Semaphore.java:155", "Field Write", " context=Database:1, ww=3"
"Thread-2", "2098", "RW_Semaphore.java:156", "Line Step", " file=RW_Semaphore.java, line=156"
"Thread-2", "2099", "RW_Semaphore.java:156", "Field Read", " context=Database:1, s"
"Thread-2", "2100", "RW_Semaphore.java:158", "Line Step", " file=RW_Semaphore.java, line=158"
"Thread-5", "2101", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-2", "2102", "RW_Semaphore.java:158", "Field Read", " context=Database:1, sw"
"Thread-5", "2103", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-5", "2104", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-5", "2105", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-5", "2106", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-5", "2107", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-5", "2108", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-5", "2109", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-5", "2110", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-5", "2111", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-5", "2112", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-5", "2113", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-6", "2114", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-5", "2115", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-6", "2116", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-6", "2117", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-6", "2118", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-6", "2119", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-6", "2120", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-6", "2121", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-6", "2122", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-6", "2123", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-6", "2124", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-6", "2125", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-6", "2126", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-7", "2127", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-6", "2128", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-7", "2129", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-7", "2130", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-7", "2131", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
"Thread-7", "2132", "RW_Semaphore.java:105", "Line Step", " file=RW_Semaphore.java, line=105"
"Thread-7", "2133", "RW_Semaphore.java:105", "Field Read", " context=Database:1, w"
"Thread-7", "2134", "RW_Semaphore.java:109", "Line Step", " file=RW_Semaphore.java, line=109"
"Thread-7", "2135", "RW_Semaphore.java:109", "Field Read", " context=Database:1, wr"
"Thread-7", "2136", "RW_Semaphore.java:109", "Field Write", " context=Database:1, wr=5"
"Thread-7", "2137", "RW_Semaphore.java:110", "Line Step", " file=RW_Semaphore.java, line=110"
"Thread-7", "2138", "RW_Semaphore.java:110", "Field Read", " context=Database:1, s"
"Thread-7", "2139", "RW_Semaphore.java:112", "Line Step", " file=RW_Semaphore.java, line=112"
"Thread-8", "2140", "RW_Semaphore.java:114", "Line Step", " file=RW_Semaphore.java, line=114"
"Thread-7", "2141", "RW_Semaphore.java:112", "Field Read", " context=Database:1, sr"
"Thread-8", "2142", "RW_Semaphore.java:117", "Line Step", " file=RW_Semaphore.java, line=117"
"Thread-8", "2143", "RW_Semaphore.java:117", "Field Read", " context=Database:1, wr"
"Thread-8", "2144", "RW_Semaphore.java:117", "Field Write", " context=Database:1, wr=4"
